group_image,individual_image,px_to_cm
A00000049749,beetle_1135.png,357
A00000049749,beetle_1050.png,357
A00000049749,beetle_1136.png,357
A00000049749,beetle_768.png,357
A00000049749,beetle_880.png,357
A00000049749,beetle_1137.png,357
A00000049749,beetle_1294.png,357
A00000049749,beetle_1180.png,357
A00000049749,beetle_879.png,357
A00000049749,beetle_1295.png,357
A00000049749,beetle_726.png,357
A00000046090,beetle_275.png,246
A00000046090,beetle_410.png,246
A00000046090,beetle_267.png,246
A00000046090,beetle_264.png,246
A00000046090,beetle_268.png,246
A00000046090,beetle_412.png,246
A00000046090,beetle_396.png,246
A00000046090,beetle_399.png,246
A00000046090,beetle_411.png,246
A00000046090,beetle_213.png,246
A00000046090,beetle_409.png,246
A00000046090,beetle_406.png,246
A00000046090,beetle_188.png,246
A00000033672,beetle_158.png,418
A00000033672,beetle_314.png,418
A00000033672,beetle_143.png,418
A00000033672,beetle_315.png,418
A00000033672,beetle_114.png,418
A00000033672,beetle_152.png,418
A00000033672,beetle_316.png,418
A00000033672,beetle_313.png,418
A00000033672,beetle_308.png,418
A00000033672,beetle_494.png,418
A00000033672,beetle_155.png,418
A00000033672,beetle_438.png,418
A00000034569,beetle_211.png,231
A00000034569,beetle_707.png,231
A00000034569,beetle_472.png,231
A00000034569,beetle_237.png,231
A00000034569,beetle_467.png,231
A00000034569,beetle_245.png,231
A00000034569,beetle_475.png,231
A00000034569,beetle_699.png,231
A00000034569,beetle_709.png,231
A00000034569,beetle_469.png,231
A00000034569,beetle_694.png,231
A00000034569,beetle_708.png,231
A00000034569,beetle_241.png,231
A00000034569,beetle_457.png,231
A00000034569,beetle_705.png,231
A00000034569,beetle_713.png,231
A00000040703,beetle_395.png,242
A00000040703,beetle_675.png,242
A00000040703,beetle_410.png,242
A00000040703,beetle_401.png,242
A00000040703,beetle_274.png,242
A00000040703,beetle_277.png,242
A00000040703,beetle_531.png,242
A00000040703,beetle_412.png,242
A00000040703,beetle_511.png,242
A00000040703,beetle_269.png,242
A00000040703,beetle_36.png,242
A00000040703,beetle_723.png,242
A00000040703,beetle_548.png,242
A00000040703,beetle_522.png,242
A00000040703,beetle_404.png,242
A00000040703,beetle_271.png,242
A00000040703,beetle_85.png,242
A00000040703,beetle_411.png,242
A00000040703,beetle_68.png,242
A00000040703,beetle_524.png,242
A00000040703,beetle_413.png,242
A00000040703,beetle_116.png,242
A00000040703,beetle_406.png,242
A00000040703,beetle_407.png,242
A00000040703,beetle_37.png,242
A00000040703,beetle_489.png,242
A00000040703,beetle_272.png,242
A00000040703,beetle_527.png,242
A00000040703,beetle_276.png,242
A00000040703,beetle_713.png,242
A00000046096,beetle_135.png,285
A00000046096,beetle_391.png,285
A00000046096,beetle_584.png,285
A00000046096,beetle_379.png,285
A00000046096,beetle_581.png,285
A00000046096,beetle_372.png,285
A00000046096,beetle_116.png,285
A00000046096,beetle_583.png,285
A00000046096,beetle_585.png,285
A00000046096,beetle_374.png,285
A00000046096,beetle_82.png,285
A00000050040,beetle_350.png,336
A00000050040,beetle_361.png,336
A00000050040,beetle_481.png,336
A00000050040,beetle_351.png,336
A00000050040,beetle_343.png,336
A00000050040,beetle_704.png,336
A00000050040,beetle_714.png,336
A00000050040,beetle_721.png,336
A00000050040,beetle_419.png,336
A00000050040,beetle_458.png,336
A00000050040,beetle_469.png,336
A00000050040,beetle_708.png,336
A00000050040,beetle_713.png,336
A00000046117,beetle_388.png,239
A00000046117,beetle_125.png,239
A00000046117,beetle_100.png,239
A00000046117,beetle_392.png,239
A00000046117,beetle_695.png,239
A00000046117,beetle_237.png,239
A00000046117,beetle_246.png,239
A00000046117,beetle_84.png,239
A00000046117,beetle_694.png,239
A00000046117,beetle_413.png,239
A00000046117,beetle_691.png,239
A00000046117,beetle_250.png,239
A00000034555,beetle_206.png,232
A00000034555,beetle_311.png,232
A00000034555,beetle_65.png,232
A00000034555,beetle_64.png,232
A00000034555,beetle_338.png,232
A00000034555,beetle_341.png,232
A00000034555,beetle_220.png,232
A00000034555,beetle_331.png,232
A00000034555,beetle_210.png,232
A00000034555,beetle_218.png,232
A00000034555,beetle_339.png,232
A00000034555,beetle_340.png,232
A00000034555,beetle_214.png,232
A00000008914,beetle_294.png,240
A00000008914,beetle_420.png,240
A00000008914,beetle_541.png,240
A00000008914,beetle_429.png,240
A00000008914,beetle_293.png,240
A00000008914,beetle_538.png,240
A00000008914,beetle_265.png,240
A00000008914,beetle_423.png,240
A00000008914,beetle_434.png,240
A00000008914,beetle_421.png,240
A00000008914,beetle_607.png,240
A00000008914,beetle_200.png,240
A00000008914,beetle_289.png,240
A00000008914,beetle_427.png,240
A00000008914,beetle_534.png,240
A00000008914,beetle_416.png,240
A00000008914,beetle_439.png,240
A00000008914,beetle_292.png,240
A00000008914,beetle_290.png,240
A00000008914,beetle_197.png,240
A00000046154,beetle_596.png,271
A00000046154,beetle_107.png,271
A00000046154,beetle_282.png,271
A00000046154,beetle_571.png,271
A00000046154,beetle_269.png,271
A00000046154,beetle_579.png,271
A00000046154,beetle_281.png,271
A00000046154,beetle_862.png,271
A00000046154,beetle_865.png,271
A00000046154,beetle_286.png,271
A00000046154,beetle_582.png,271
A00000046154,beetle_863.png,271
A00000046154,beetle_586.png,271
A00000046154,beetle_262.png,271
A00000046154,beetle_874.png,271
A00000034570,beetle_237.png,444
A00000034570,beetle_190.png,444
A00000034570,beetle_222.png,444
A00000034570,beetle_225.png,444
A00000034570,beetle_214.png,444
A00000034570,beetle_215.png,444
A00000008920,beetle_305.png,240
A00000008920,beetle_183.png,240
A00000008920,beetle_595.png,240
A00000008920,beetle_310.png,240
A00000008920,beetle_459.png,240
A00000008920,beetle_314.png,240
A00000008920,beetle_588.png,240
A00000008920,beetle_598.png,240
A00000008920,beetle_40.png,240
A00000008920,beetle_460.png,240
A00000008920,beetle_453.png,240
A00000008920,beetle_312.png,240
A00000008920,beetle_672.png,240
A00000008920,beetle_448.png,240
A00000008920,beetle_597.png,240
A00000008920,beetle_463.png,240
A00000008920,beetle_174.png,240
A00000008920,beetle_676.png,240
A00000008920,beetle_165.png,240
