group_image,individual_image,px_to_cm
A00000051590,beetle_301.png,305
A00000051590,beetle_212.png,305
A00000046185,beetle_350.png,346
A00000046185,beetle_299.png,346
A00000046185,beetle_112.png,346
A00000046185,beetle_351.png,346
A00000046185,beetle_283.png,346
A00000050020,beetle_335.png,256
A00000050020,beetle_293.png,256
A00000050020,beetle_315.png,256
A00000050020,beetle_515.png,256
A00000050020,beetle_518.png,256
A00000051178,beetle_90.png,358
A00000051178,beetle_473.png,358
A00000051178,beetle_100.png,358
A00000051178,beetle_554.png,358
A00000051178,beetle_410.png,358
A00000008952,beetle_622.png,269
A00000008952,beetle_441.png,269
A00000008952,beetle_267.png,269
A00000008952,beetle_650.png,269
A00000008952,beetle_273.png,269
A00000051171,beetle_119.png,382
A00000051171,beetle_71.png,382
A00000051171,beetle_112.png,382
A00000051171,beetle_161.png,382
A00000051171,beetle_56.png,382
A00000051183,beetle_388.png,359
A00000051183,beetle_394.png,359
A00000051183,beetle_392.png,359
A00000051183,beetle_332.png,359
A00000051183,beetle_143.png,359
A00000009160,beetle_448.png,268
A00000009160,beetle_440.png,268
A00000009160,beetle_404.png,268
A00000009160,beetle_726.png,268
A00000009160,beetle_442.png,268
A00000049812,beetle_1551.png,223
A00000049812,beetle_973.png,223
A00000049812,beetle_820.png,223
A00000049812,beetle_1321.png,223
A00000049812,beetle_1576.png,223
A00000051610,beetle_479.png,291
A00000051610,beetle_481.png,291
A00000051610,beetle_550.png,291
A00000051610,beetle_363.png,291
A00000051610,beetle_491.png,291
A00000051598,beetle_523.png,293
A00000051598,beetle_310.png,293
A00000051598,beetle_119.png,293
A00000051598,beetle_100.png,293
A00000051598,beetle_410.png,293
A00000041431,beetle_300.png,224
A00000041431,beetle_429.png,224
A00000041431,beetle_515.png,224
A00000041431,beetle_235.png,224
A00000041431,beetle_239.png,224
A00000033618,beetle_148.png,359
A00000033618,beetle_199.png,359
A00000033618,beetle_97.png,359
A00000033618,beetle_222.png,359
A00000033618,beetle_153.png,359
A00000059777,beetle_521.png,272
A00000059777,beetle_508.png,272
A00000059777,beetle_178.png,272
A00000059777,beetle_636.png,272
A00000059777,beetle_567.png,272
A00000046178,beetle_189.png,246
A00000046178,beetle_449.png,246
A00000046178,beetle_190.png,246
A00000046178,beetle_448.png,246
A00000046178,beetle_445.png,246
A00000046075,beetle_429.png,272
A00000046075,beetle_424.png,272
A00000046075,beetle_427.png,272
A00000046075,beetle_416.png,272
A00000033670,beetle_291.png,427
A00000033670,beetle_268.png,427
A00000033670,beetle_106.png,427
A00000033670,beetle_115.png,427
A00000033670,beetle_284.png,427
A00000137178,beetle_294.png,225
A00000137178,beetle_267.png,225
A00000137178,beetle_293.png,225
A00000137178,beetle_190.png,225
A00000137178,beetle_12.png,225
A00000033653,beetle_31.png,294
A00000033653,beetle_335.png,294
A00000033653,beetle_332.png,294
A00000033653,beetle_279.png,294
A00000033653,beetle_237.png,294
A00000046093,beetle_622.png,268
A00000046093,beetle_623.png,268
A00000046093,beetle_178.png,268
A00000046093,beetle_487.png,268
A00000046093,beetle_163.png,268
A00000033622,beetle_472.png,363
A00000033622,beetle_145.png,363
A00000033622,beetle_227.png,363
A00000033622,beetle_206.png,363
A00000033622,beetle_226.png,363
A00000040717,beetle_549.png,275
A00000040717,beetle_548.png,275
